Ano;Argentina;Bolivia;Brazil;Chile;Colombia;Ecuador;Equatorial Guinea;Guyana;Peru;Paraguay;Uruguay;Venezuela
1969;71;;;79,3;47,6;;;;62,2;43,6;664;
1970;71,8;;;86,8;50,7;55,7;;95,8;;45,5;695;598
1971;;;;91,2;51,2;54,9;;93,2;;44,2;689;63
1972;;;;92,2;54,1;58,5;;91,6;63,7;47,4;715;665
1973;75,6;;;90,4;54,7;61,3;;91,9;66,9;48,5;681;679
1974;78,9;;;90,9;;65,2;;;68,2;48,8;;70
1975;78,6;;;93,1;;69,6;;88,2;74,3;49,9;694;695
1976;;;;90,6;;71,4;;93,2;80,8;51,5;702;695
1977;;;;;;70,5;;87,5;79,8;52,2;692;694
1978;;;;;;74,4;;87,4;79,8;;705;689
1979;;;;;;77,4;;79,5;78,2;54,5;726;719
1980;;;;;;81,2;;82,9;76,6;57,5;;738
1981;;;;;72,2;83,9;;84,6;;59,6;;774
1982;;;;97,9;74,9;87,7;;80,7;;62,6;;776
1983;;;;;75,1;90;;85,4;;64,4;;766
1984;;;;;69,4;90,5;;;80,6;66,2;87;779
1985;;;;;72,3;;;;;64,7;881;785
1986;;;;;71,9;93,4;;87,9;;64,9;919;783
1987;;;;;71,3;94,9;;;;64,3;922;784
1988;;;;;71;;;;;64,1;93;788
1989;;;;;75,3;;;;;65,2;946;788
1990;;;;;74,4;;;;;68,8;95;816
1991;;;;;83,3;;;91,3;;70;928;853
1992;;;;;84,2;;;89,8;84,8;76,1;945;848
1993;98,6;;;;83,9;94,9;36,4;;;76,1;948;
1994;;;;;88;92,7;;76,6;85;77,8;943;
1995;93;;;;89,5;92,3;;80,2;;81,8;944;817
1996;91,5;;;;;95,6;;85;;;958;817
1997;99,2;;;;95,6;;;;93,2;91,4;959;
1998;97,2;;;;96,7;97;;104;98;88,2;962;821
1999;97,3;;;;96;97,2;45;108;96,8;91;973;839
2000;96,8;;112;;92,8;97,7;;92,7;92,9;91,1;954;853
2001;101;;114;;92,8;97,3;;;92,8;92,8;949;92
2002;98,2;;109;;;96,7;36,6;77,5;97,5;95,3;918;897
2003;96,6;;101;;100;96,3;;;97,2;94;922;897
2004;94,6;;;;104;100;43,9;93,5;97,4;94,4;954;915
2005;97,1;;;;111;99,8;;93,8;99,5;93,2;997;953
2006;99,9;;;;113;99,1;;94;102;93,8;104;973
2007;103;;;;113;;41;95,5;102;93,5;107;95
2008;103;;;;118;97,2;43;98,4;99,4;93,1;106;951
2009;104;97,3;;;117;103;44,4;92,7;101;91,7;105;939
2010;104;96,9;;95,7;115;107;42,5;97,6;99,4;88,8;104;952
2011;103;97,4;;98,8;110;108;44;97,4;94,8;88;103;963
2012;102;94,4;;98,7;99,8;109;;;96,8;88,7;103;961
2013;103;90,7;;98,9;99,2;112;;;97,9;91,1;104;968
2014;103;88,8;;97;100;106;40,8;;100;88,4;104;961
2015;104;89,9;;95,5;102;104;;;105;87,2;105;941
2016;100;91,6;;94,8;106;105;;;97,4;;987;926
2017;98,7;94,8;;96,2;107;104;;;96,1;;103;
2018;98,5;91,6;;98,2;107;101;;;98,7;;;
2019;;;;;;101;;;;75;;
